basin name,scn,region name,location name,latitude,longitude,altitude,established,number,directory,basin water office data filename,Datatype
"Wami, Ruva and Coast",1HB2,Mgeta,Mgeta,-7.0722,37.5944,,,30,,,name
"Wami, Ruva and Coast",1GD36,Mkata,Mkata,-6.8806,37.3861,,,21,,,name
"Wami, Ruva and Coast",1GD32,Mkondoa,Railway Bridge,-6.8556,37.05,,,17,,,name
"Wami, Ruva and Coast",1GD2,Mkondoa,Kilosa,-6.8333,37,,,9,,,name
"Wami, Ruva and Coast",1GD29,Mkondoa,Mbarahwe,-6.7083,36.7833,,,14,,,name
"Wami, Ruva and Coast",1HA8A,Morogoro,Morogoro,-7.0028,37.7167,,,27,,,name
"Wami, Ruva and Coast",1HC2A,Mvuha,Tulo School,-7.2333,37.9,,,32,,,name
"Wami, Ruva and Coast",1HC2,Mvuha,Ngagama,-7.2278,37.8917,,,31,,,name
"Wami, Ruva and Coast",1GA2,Mziha,Mziha,-6.9,37.7833,,,7,,,name
"Wami, Ruva and Coast",1J9A,Mzinga,Kichemichemi,-6.9167,39.3,,,37,,,name
"Wami, Ruva and Coast",1HA1A,Ngerengere,U/S Utari Br,-7.0333,38.3667,,,26,,,name
"Wami, Ruva and Coast",1HA15,Ngerengere,Mgude,-6.8667,38.2139,,,29,,,name
"Wami, Ruva and Coast",1HA9A,Ngerengere,Konga,-6.7,37.9167,,,28,,,name
"Wami, Ruva and Coast",1H10,Ruvu,Mikula,-7.3,38.1667,,,25,,,name
"Wami, Ruva and Coast",1H5,Ruvu,Kibungo,-7.0167,37.8,,,23,,,name
"Wami, Ruva and Coast",1H8,Ruvu,Morogoro Rd.Br,-6.7389,38.8361,,,24,,,name
"Wami, Ruva and Coast",1G5A,Tami,Msowero,-6.5222,37.3139,,,3,,,name
"Wami, Ruva and Coast",1G1,Wami,Dakawa,-6.4333,37.5333,,,1,,,name
"Wami, Ruva and Coast",1G2,Wami,Mandera,-6.2333,38.4,,,2,,,name
Rufiji Basin,,Kihansi,Lugoda,-8.62,-35.9,,,,Kilombero River Basin_Data,Kihansi at Lugoda water level.txt,waterlevel
Rufiji Basin,,Kihansi,Lugoda,-8.62,-35.9,,,,,,name
Rufiji Basin,,Kihansi,Lutaki,-8.55,-35.9,,,,,,name
Rufiji Basin,,Kihansi,Lutaki,-8.55,-35.9,,,,Kilombero River Basin_Data,Kihansi at Lutaki water level.txt,waterlevel
Rufiji Basin,,Kihansi,Lutaki,-8.55,-35.9,,,,Kilombero River Basin_Data,Kihansi River at Lutaki dmf.txt,dmf
Rufiji Basin,,Kilombero,Ifakara Ferry,-8.15,36.6,,,,,,name
Rufiji Basin,,Kilombero,Ifakara Ferry,-8.15,36.6,,,,Kilombero River Basin_Data,Kilombero at Ifakara Ferry water level.txt,waterlevel
Rufiji Basin,,Lumemo,Lumemo Met Station,-8.17,36.6,,,,,,name
Rufiji Basin,,Lumemo,Lumemo Met Station,-8.17,36.6,,,,Kilombero River Basin_Data,Lumemo Met Station rainfall.txt,rain
Rufiji Basin,,Mapanda,Mapanda Automet,-8.42,35.76,,,,,,name
Rufiji Basin,,Mapanda,Mapanda Automet,-8.42,35.76,,,,Kilombero River Basin_Data,Mapanda automet rain,rain
Rufiji Basin,,Tanganyika,Tanganyika Wattle,-9.23,34.9,,,,,,name
Rufiji Basin,,Tanganyika,Tanganyika Wattle,-9.23,34.9,,,,Kilombero River Basin_Data,Tanganyika Watlle rainfall.txt,rain
Rufiji Basin,,Taveta,Taveta Mission,-9.02,35.5,,,,,,name
Rufiji Basin,,Taveta,Taveta Mission,-9.02,35.5,,,,Kilombero River Basin_Data,Taveta Mission monthly rainfall.txt,rain
Rufiji Basin,,Udzungwa,Udzungwa Automet,-8.13,39.18,,,,,,name
Rufiji Basin,,Udzungwa,Udzungwa Automet,-8.13,39.18,,,,Kilombero River Basin_Data,Udzungwa automet rain.txt,rain
Rufiji Basin,,Uhafiwa,Uhafiwa Automet,-8.52,35.9,,,,,,name
Rufiji Basin,,Uhafiwa,Uhafiwa Automet,-8.52,35.9,,,,Kilombero River Basin_Data,Uhafiwa automet rainfall.txt,rain
Rufiji Basin,,Uhafiwa,Uhafiwa Automet,-8.52,35.9,,,,Kilombero River Basin_Data,Uhafuwa automet std rainfall.txt,rain
